A1,A2,sigma1,sigma2,mu1,mu2,A1_conf,A2_conf,sigma1_conf,sigma2_conf,mu1_conf,mu2_conf
0.4855,1.5929,1.5677,1.9944,-3.997,4.0091,0.0325,0.0289,0.1241,0.0428,0.122,0.0419
0.4875,1.5833,1.5729,1.9935,-3.8939,4.0118,0.0324,0.0289,0.1243,0.0432,0.1219,0.0421
0.5173,1.6116,1.4386,1.9738,-4.0083,3.9762,0.0325,0.0278,0.1059,0.0399,0.1048,0.0393
0.4786,1.5761,1.6095,2.0396,-3.9888,4.0145,0.033,0.0294,0.1322,0.0454,0.1294,0.0441
0.5158,1.6,1.4538,1.999,-4.0841,4.0038,0.0343,0.0293,0.1132,0.0429,0.112,0.0423
0.4988,1.5498,1.5038,2.0519,-3.9426,3.9897,0.0326,0.028,0.1165,0.044,0.1146,0.0429
0.4894,1.5816,1.434,2.0137,-3.9026,4.0543,0.0344,0.0291,0.1184,0.0436,0.117,0.0428
0.5216,1.6033,1.4278,2.0115,-4.0003,3.989,0.0337,0.0285,0.1083,0.0419,0.1071,0.0413
0.4912,1.6038,1.5915,1.9855,-4.0003,4.0173,0.0316,0.0284,0.1212,0.0416,0.1191,0.0406
0.4695,1.621,1.5397,1.9958,-4.0216,4.0006,0.0318,0.028,0.1231,0.0407,0.1212,0.0399
0.4771,1.5745,1.6162,2.0368,-4.0586,3.9899,0.0324,0.029,0.1307,0.0447,0.128,0.0434
0.5019,1.5879,1.5953,2.0208,-4.0789,3.9919,0.0322,0.0287,0.1215,0.0434,0.1193,0.0423
0.5167,1.5966,1.4821,2.0079,-3.9916,3.9964,0.0331,0.0285,0.1117,0.0422,0.1102,0.0414
0.5084,1.6046,1.5286,1.9691,-3.9023,3.9877,0.0319,0.0282,0.1134,0.0409,0.1116,0.04
0.5101,1.6141,1.5952,1.9956,-4.0225,4.0112,0.0329,0.0295,0.1219,0.0433,0.1198,0.0422
0.5175,1.5863,1.3546,2.0139,-4.0644,3.9489,0.0351,0.0288,0.1072,0.0427,0.1063,0.0422
0.5145,1.6123,1.4811,1.9928,-3.9403,3.9988,0.0333,0.0288,0.113,0.042,0.1115,0.0412
0.515,1.622,1.4863,1.9761,-4.0222,3.9832,0.033,0.0287,0.1118,0.041,0.1104,0.0403
0.498,1.585,1.4697,2.004,-4.0275,4.0058,0.0338,0.029,0.117,0.0431,0.1156,0.0423
0.5025,1.5995,1.4106,2.0135,-3.9655,3.9997,0.0327,0.0275,0.1077,0.0406,0.1066,0.0399
0.4924,1.6082,1.6157,1.9816,-3.8945,4.0041,0.0335,0.0303,0.131,0.0446,0.1282,0.0433
0.5034,1.5877,1.5046,2.0194,-4.0096,4.0152,0.0334,0.0289,0.1177,0.0434,0.116,0.0425
0.5292,1.5933,1.4329,2.0168,-3.9571,4.0143,0.0339,0.0286,0.1077,0.0426,0.1064,0.0418
0.5117,1.6087,1.4874,1.9579,-3.9898,3.9781,0.0323,0.0282,0.1104,0.0404,0.109,0.0397
0.4786,1.5859,1.5793,2.0216,-4.0421,4.0082,0.0316,0.028,0.1236,0.0424,0.1214,0.0414
0.4936,1.6178,1.5697,1.9647,-3.9791,3.988,0.0313,0.028,0.1176,0.0403,0.1156,0.0394
